"Sr. No.","State","Hon'ble Members of Parliament","Elected/Nominated","Allocated AMOUNT ( ₹ )"
"171","Karnataka","G. KUMAR NAIK (2024-2029)","Elected MP","147000000"
"172","Maharashtra","GAIKWAD VARSHA EKNATH (2024-2029)","Elected MP","147000000"
"173","Madhya Pradesh","Gajendra Singh Patel (2024-2029)","Elected MP","147000000"
"174","Rajasthan","Gajendra Singh Shekhawat (2024-2029)","Elected MP","147000000"
"175","Tamil Nadu","GANAPATHY RAJKUMAR P (2024-2029)","Elected MP","147370490.11"
"176","Tamil Nadu","Ganesan Selvam (2024-2029)","Elected MP","186508749.11"
"177","Madhya Pradesh","Ganesh Singh (2024-2029)","Elected MP","147000000"
"178","Assam","GAURAV GOGOI (2024-2029)","Elected MP","147000000"
"179","Gujarat","GENIBEN NAGAJI THAKOR (2024-2029)","Elected MP","147000000"
"180","Bihar","Giridhari Yadav (2024-2029)","Elected MP","147000000"
"181","Bihar","Giriraj Singh (2024-2029)","Elected MP","147000000"
"182","Andhra Pradesh","GM Harish Balayogi (2024-2029)","Elected MP","147000000"
"183","Telangana","GODAM NAGESH (2024-2029)","Elected MP","147000000"
"184","Tamil Nadu","GOPINATH K (2024-2029)","Elected MP","147000000"
"185","Karnataka","GOVIND MAKTHAPPA KARJOL (2024-2029)","Elected MP","147000000"
"186","Andhra Pradesh","Gumma Thanuja Rani (2024-2029)","Elected MP","149458905.11"
"187","Punjab","GURMEET SINGH MEET HAYER (2024-2029)","Elected MP","147000000"
"188","Madhya Pradesh","Gyaneshwar Patil (2024-2029)","Elected MP","155690684.77"
"189","Karnataka","H.D. KUMARASWAMY (2024-2029)","Elected MP","147000000"
"190","Uttar Pradesh","HARENDRA SINGH MALIK (2024-2029)","Elected MP","147000000"
"191","Gujarat","HARIBHAI PATEL (2024-2029)","Elected MP","147000000"
"192","Rajasthan","HARISH CHANDRA MEENA (2024-2029)","Elected MP","147000000"
"193","Delhi","Harsh Malhotra (2024-2029)","Elected MP","147134131"
"194","Gujarat","Hasmukh Bhai Soma Bhai Patel (2024-2029)","Elected MP","147000000"
"195","Uttar Pradesh","IMRAN MASOOD (2024-2029)","Elected MP","147000000"
"196","Sikkim","Indra Hang Subba (2024-2029)","Elected MP","152003923.11"
"197","Uttar Pradesh","IQRA CHOUDHARY (2024-2029)","Elected MP","147000000"
"198","West Bengal","ISHA KHAN CHOUDHURY (2024-2029)","Elected MP","147000000"
"199","West Bengal","JAGADISH CHANDRA BARMA BASUNIA (2024-2029)","Elected MP","168604641.11"
"200","Karnataka","JAGADISH SHETTAR (2024-2029)","Elected MP","147000000"
"201","West Bengal","Jagannath Sarkar (2024-2029)","Elected MP","147000000"
"202","Uttar Pradesh","Jagdambika Pal (2024-2029)","Elected MP","160643957.11"
"203","Haryana","JAI PARKASH (2024-2029)","Elected MP","147000000"
"204","Uttar Pradesh","Jai Prakash (2024-2029)","Elected MP","147000000"
"205","Madhya Pradesh","Janardan Mishra (2024-2029)","Elected MP","147000000"
"206","Gujarat","JASHUBHAI BHILUBHAI RATHVA (2024-2029)","Elected MP","147000000"
"207","Gujarat","Jaswantsinh Sumanbhai Bhabhor (2024-2029)","Elected MP","147000000"
"208","Bihar","JITAN RAM MANJHI (2024-2029)","Elected MP","147000000"
"209","Uttar Pradesh","JITENDRA KUMAR DOHARE (2024-2029)","Elected MP","188747306.26"
"210","Jammu And Kashmir","Jitendra Singh (2024-2029)","Elected MP","147000000"
"211","Uttar Pradesh","JITIN PRASADA (2024-2029)","Elected MP","147000000"
"212","Jharkhand","JOBA MAJHI (2024-2029)","Elected MP","147000000"
"213","Assam","JOYANTA BASUMATARY (2024-2029)","Elected MP","147000000"
"214","West Bengal","JUNE MALIAH (2024-2029)","Elected MP","147000000"
"215","Madhya Pradesh","JYOTIRADITYA M. SCINDIA (2024-2029)","Elected MP","147000000"
"216","Chhattisgarh","Jyotsna Charandas Mahant  (2024-2029)","Elected MP","155153738.11"
"217","Tamil Nadu","K E PRAKASH (2024-2029)","Elected MP","147000000"
"218","Kerala","K RADHAKRISHNAN (2024-2029)","Elected MP","147000000"
"219","Tamil Nadu","K Subbarayan (2024-2029)","Elected MP","147000000"
"220","Kerala","K. C VENUGOPAL (2024-2029)","Elected MP","147000000"
"221","Karnataka","K. RAJASHEKAR BASAVARAJ HITNAL (2024-2029)","Elected MP","147000000"
"222","Telangana","KADIYAM KAVYA (2024-2029)","Elected MP","147000000"
"223","West Bengal","Kakoli Ghosh Dastidar  (2024-2029)","Elected MP","147000000"
"224","The Dadra And Nagar Haveli And Daman And Diu","Kalaben Mohanbhai Delkar (2024-2029)","Elected MP","269500000"
"225","Tamil Nadu","Kalanidhi Veeraswamy (2024-2029)","Elected MP","171500000"
"226","Jharkhand","KALI CHARAN MUNDA (2024-2029)","Elected MP","147000000"
"227","Jharkhand","KALI CHARAN SINGH (2024-2029)","Elected MP","147000000"
"228","West Bengal","KALIPADA SAREN (2024-2029)","Elected MP","147000000"
"229","West Bengal","Kalyan Banerjee (2024-2029)","Elected MP","147000000"
"230","Maharashtra","KALYAN VAIJINATHRAO KALE (2024-2029)","Elected MP","147000000"
"231","Assam","KAMAKHYA PRASAD TASA (2024-2029)","Elected MP","147000000"
"232","Delhi","Kamaljeet Sehrawat (2024-2029)","Elected MP","147000000"
"233","Chhattisgarh","KAMLESH JANGDE (2024-2029)","Elected MP","150384382.11"
"234","Uttar Pradesh","Kamlesh Paswan (2024-2029)","Elected MP","147000000"
"235","Himachal Pradesh","Kangana Ranaut (2024-2029)","Elected MP","147000000"
"236","Tamil Nadu","Kani K Navas (2024-2029)","Elected MP","147000000"
"237","Tamil Nadu","Kanimozhi Karunanidhi (2024-2029)","Elected MP","147000000"
"238","Uttar Pradesh","KANWAR SINGH TANWAR (2024-2029)","Elected MP","147000000"
"239","Uttar Pradesh","KARAN BHUSHAN SINGH (2024-2029)","Elected MP","147000000"
"240","West Bengal","KARTICK CHANDRA PAUL (2024-2029)","Elected MP","202677986.56"
"241","Bihar","Kaushalendra Kumar (2024-2029)","Elected MP","147000000"
"242","West Bengal","Khagen Murmu (2024-2029)","Elected MP","147000000"
"243","West Bengal","Khalilur Rahaman  (2024-2029)","Elected MP","147000000"
"244","Andhra Pradesh","Kinjarapu Ram Mohan Naidu (2024-2029)","Elected MP","171200630.11"
"245","Arunachal Pradesh","Kiren Rijiju (2024-2029)","Elected MP","147000000"
"246","Uttar Pradesh","Kirti Vardhan Singh (2024-2029)","Elected MP","147000000"
"247","Telangana","Kishan Reddy Gangapuram (2024-2029)","Elected MP","147000000"
"248","Uttar Pradesh","KISHORI LAL (2024-2029)","Elected MP","171500000"
"249","Telangana","KONDA VISHWESHWAR REDDY (2024-2029)","Elected MP","233721420.96"
"250","Karnataka","KOTA SRINIVAS POOJARY (2024-2029)","Elected MP","151126112.11"
"251","Assam","Kripanath Mallah (2024-2029)","Elected MP","147000000"
"252","Haryana","Krishan Pal Gurjar (2024-2029)","Elected MP","147000000"
"253","Uttar Pradesh","KRISHNA DEVI SHIVSHANKER PATEL (2024-2029)","Elected MP","147000000"
"254","Andhra Pradesh","Krishna Prasad Tenneti (2024-2029)","Elected MP","167796849.11"
"255","Tripura","KRITI DEVI DEBBARMAN (2024-2029)","Elected MP","147000000"
"256","Rajasthan","KULDEEP INDORA (2024-2029)","Elected MP","147000000"
"257","Telangana","KUNDURU RAGHUVEER (2024-2029)","Elected MP","162952022"
"258","Uttar Pradesh","LALJI VERMA (2024-2029)","Elected MP","147000000"
"259","Andhra Pradesh","Lavu Sri Krishna Devarayalu (2024-2029)","Elected MP","174009663.11"
"260","Uttar Pradesh","LAXMIKANT PAPPU NISHAD (2024-2029)","Elected MP","147000000"
"261","Bihar","LOVELY ANAND (2024-2029)","Elected MP","147000000"
"262","Rajasthan","LUMBARAM (2024-2029)","Elected MP","147000000"
"263","Karnataka","M. MALLESH BABU (2024-2029)","Elected MP","147065957.11"
"264","Tamil Nadu","M.K. VISHNUPRASAD (2024-2029)","Elected MP","147000000"
"265","Andhra Pradesh","Maddila Gurumoorthy (2024-2029)","Elected MP","180399007"
"266","Telangana","MADHAVANENI RAGHUNANDAN RAO (2024-2029)","Elected MP","147000000"
"267","Andhra Pradesh","Magunta Sreenivasulu Reddy (2024-2029)","Elected MP","147000000"
"268","Madhya Pradesh","Mahendra Singh Solanky (2024-2029)","Elected MP","147000000"
"269","Chhattisgarh","MAHESH KASHYAP (2024-2029)","Elected MP","147000000"
"270","Uttar Pradesh","Mahesh Sharma (2024-2029)","Elected MP","148816284.11"
"271","Rajasthan","MAHIMA KUMARI MEWAR (2024-2029)","Elected MP","183892143"
"272","Uttarakhand","Mala Rajya Laxmi Shah  (2024-2029)","Elected MP","147000000"
"273","West Bengal","Mala Roy  (2024-2029)","Elected MP","147000000"
"274","Tamil Nadu","MALAIYARASAN D (2024-2029)","Elected MP","201599593"
"275","Odisha","MALVIKA DEVI (2024-2029)","Elected MP","147000000"
"276","Punjab","MALVINDER SINGH KANG (2024-2029)","Elected MP","147000000"
"277","Tamil Nadu","MANI. A. (2024-2029)","Elected MP","164515071.11"
"278","Tamil Nadu","Manickam Tagore B (2024-2029)","Elected MP","147000000"
"279","Jharkhand","MANISH JAISWAL (2024-2029)","Elected MP","147000000"
"280","Chandigarh","MANISH TEWARI (2024-2029)","Elected MP","178351443.75"
"281","Rajasthan","MANJU SHARMA (2024-2029)","Elected MP","167082901.11"
"282","Rajasthan","MANNA LAL RAWAT (2024-2029)","Elected MP","147000000"
"283","Haryana","MANOHAR LAL (2024-2029)","Elected MP","147000000"
"284","Bihar","MANOJ KUMAR (2024-2029)","Elected MP","147000000"
"285","West Bengal","MANOJ TIGGA (2024-2029)","Elected MP","147000000"
"286","Delhi","Manoj Tiwari (2024-2029)","Elected MP","225843858"
"287","Gujarat","Mansukhbhai Dhanjibhai Vasava (2024-2029)","Elected MP","147000000"
"288","Jammu And Kashmir","MIAN ALTAF AHMAD (2024-2029)","Elected MP","147000000"
"289","Andhra Pradesh","Midhun Reddy (2024-2029)","Elected MP","178951477.11"
"290","Bihar","MISHA BHARTI (2024-2029)","Elected MP","147000000"
"291","Gujarat","Mitesh Rameshbhai Bakabhai Patel (2024-2029)","Elected MP","147000000"
"292","Ladakh","Mohamed Haneefa (2024-2029)","Elected MP","161114542"
